Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI
196.02,193.22,197.2,192.55,4.2840535552231955,189.79986062176724,182.78025,68.11238639264451
193.67,194.5,195.64,193.32,4.017760190191309,190.65443141780955,183.44925,70.06292599801021
193.33,193.62,194.44,192.915,3.6702230201639803,191.19362570548054,184.26875,66.93527697282794
193.41,192.75,194.91,192.25,3.5259054458548396,191.47660284993862,185.11425,63.80640297015417
194.1,191.94,194.97,191.23,3.5564903821612925,191.5608568772225,185.98675,60.86325923758806
195.09,193.13,196.47,192.495,3.6955631847096795,191.84615562681842,186.94325,63.60372030452981
193.1,195.1,198.23,192.65,3.964768444036866,192.4377636946696,187.86975,67.75666113817788
193.35,193.73,194.33,192.415,3.7819443806030284,192.6727157501842,188.68375,62.26673297993762
191.9,193.99,194.32,191.81,3.60023804051688,192.91222197742346,189.41025,62.90059090985728
190.23,190.69,191.1799,189.63,3.708775463300185,192.50818161789192,190.05525,50.85340440437797
190.5,190.54,191.19,189.78,3.3803789685430154,192.15033041463883,190.68375,50.36620700180904
189.68,189.77,191.7,188.47,3.358896258751155,191.7175430665227,191.26275,47.75659897667673
189.16,188.08,189.3,186.6,3.3319110789295636,191.05617159988222,191.67675,42.39927474625311
189.26,188.61,189.99,187.035,3.278066639082485,190.61141312717638,192.16475,44.566161180831436
191.41,190.68,192.67,190.24,3.3897714049278407,190.62388346768975,192.59925,52.345829473697506
189.84,191.81,192.02,189.2,3.3083754899381526,190.8395410190189,192.63125,56.0841220108201
191.565,191.33,192.98,190.62,3.1728932770898433,190.92871537919729,192.56875,54.08175611860132
193.78,192.46,193.88,191.76,3.0839085232198635,191.20713076479777,192.4115,58.00376495614218
191.63,193.97,194.48,191.26,3.103350162759883,191.70947062574362,192.2875,62.73022569553098
189.08,189.59,190.07,188.94,3.3785858537941857,191.32411233015387,191.9755,46.03285012144305
187.93,189.25,189.9,187.6,3.2245021603950184,190.94700099739862,191.77700000000002,44.999746857644
185.89,188.06,188.39,185.67,3.2752875660528744,190.42209172514433,191.455,41.38755220780696
186.83,185.27,188.05,185.23,3.2116750566167513,189.4853477751181,191.03750000000002,34.22975217133767
185.55,186.68,187.56,185.01,3.1171500485286456,188.97528454327843,190.734,40.0515873742876
183.74,187.0,187.045,183.67,3.153985755881696,188.616141899046,190.48700000000002,41.36049524585955
184.9,183.96,185.41,182.5901,3.333402076470024,187.769570644674,190.0285,33.61360244000423
184.41,185.01,186.1,184.41,3.162916065545733,187.26783052746055,189.52400000000003,38.065523868024655
186.73,184.92,186.99,184.27,3.099642341896342,186.84095224974044,189.08350000000002,37.82395220147098
183.96,186.01,186.52,183.78,3.0482648644825803,186.6898700225149,188.6845,42.7159824380344
183.37,183.95,184.39,182.02,3.1827984552707806,186.1917118366031,188.34750000000003,36.659137256725415
182.8,183.31,184.15,182.44,2.9723986759463843,185.667764229948,187.98600000000002,34.948511521835584
181.27,183.79,183.89,180.97,2.964913150811185,185.32635255177564,187.687,37.38341037776323
181.5,180.96,182.23,180.63,2.992782700695301,184.53247026963462,187.33100000000002,30.021932379452405
177.895,180.57,180.84,177.46,3.0652423148816865,183.81202112970104,186.92900000000003,29.143195346122102
178.44,177.82,181.21,177.32,3.183064841327162,182.72256274248267,186.28600000000003,23.706720896687443
179.965,179.21,180.12,177.43,3.1126270068518527,182.08391497112217,185.65600000000003,30.941675615902753
182.63,179.58,184.951,178.035,3.655966005873016,181.62865770364542,185.06850000000003,32.825744647850016
181.03,180.95,181.78,179.26,3.4936851478911586,181.5052653938917,184.49300000000002,39.60466460194938
177.7,180.09,180.12,176.9306,3.5687872696209917,181.24794441318411,183.79900000000004,37.00031971450052
